planet_name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,esi_overall,in_habitable_zone,potentially_habitable,n_imputed,derived_fields,discovery_year,pl_masse,disposition
KOI-K02194.01,kepler,NON_HABITABLE,1.75,554.0,22.23,34.7630543,0.1938,0.0,5670.0,0.95,0.802,0.8403769973468308,G,-1.0185745850086991,0.2520740545932604,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02195.01,kepler,NON_HABITABLE,2.63,755.0,76.97,20.0545282,0.1512,0.0,6056.0,1.209,1.147,1.7712945158564308,F,-1.1533646540592717,0.12539618360911628,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02200.01,kepler,NON_HABITABLE,1.69,1080.0,321.28,3.17059731,0.0415,0.0,5431.0,0.843,0.945,0.5570177962441445,G,-1.2333061259550249,0.06271078092203823,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02279.01,kepler,NON_HABITABLE,2.0,677.0,49.65,27.0142622,0.1779,0.0,5949.0,1.184,1.027,1.5818816593644263,G,-1.1149969432701554,0.16567782593901012,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02279.02,kepler,NON_HABITABLE,1.54,875.0,138.54,12.50945798,0.1065,0.0,5949.0,1.184,1.027,1.5818816593644263,G,-1.1932385118994024,0.10149575383222352,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02280.01,kepler,NON_HABITABLE,4.53,675.0,49.09,26.0203329,0.168,0.0,5624.0,1.244,0.931,1.394815352929251,G,-1.113888674211275,0.1400136093346176,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02281.01,kepler,NON_HABITABLE,0.93,1650.0,1756.8,0.769854899,0.0157,0.0,5173.0,0.822,0.874,0.43592146961712963,K,-1.2771699457474943,0.025040393716536213,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02282.01,kepler,NON_HABITABLE,2.13,1156.0,422.14,6.89226333,0.0732,0.0,5862.0,1.463,1.097,2.27701881379632,G,-1.2430852613476033,0.0514640352075941,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02368.01,kepler,NON_HABITABLE,1.53,856.0,126.94,8.07127043,0.0753,0.0,5766.0,0.853,0.874,0.7245883128459258,G,-1.1880231783388822,0.10653265904303173,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02369.01,kepler,NON_HABITABLE,2.64,840.0,117.97,11.01819178,0.0985,0.0,6075.0,0.969,1.048,1.1521987334575932,F,-1.1834700681022305,0.10000807163162305,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00241.02,kepler,NON_HABITABLE,1.51,428.0,7.91,30.9505927,0.1719,0.0,4983.0,0.651,0.715,0.2354074679855793,K,-0.8216373384693201,0.4149287867642106,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02369.02,kepler,NON_HABITABLE,1.34,1012.0,247.53,6.3143447,0.068,0.0,6075.0,0.969,1.048,1.1521987334575932,F,-1.2226318527653217,0.07549897667802359,False,False,1,pl_orbeccen,,,CANDIDATE
